diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
0.01,273.14999999999998,31.228381041666665,0.92972595237084443,2.9916146479801586e-16,1.0294229611693534e-08,2.9916200687055053e-16
0.02,273.14999999999998,31.228381041666665,0.92972595237084443,1.9146214933826929e-14,8.2364706929249078e-08,1.9146368439715234e-14
0.03,273.14999999999998,31.228381041666665,0.92972595237084443,2.1808505377167187e-13,2.7804206843462367e-07,2.1808910300863125e-13
0.04,273.14999999999998,31.228381041666665,0.92972595237084443,1.2253267178137617e-12,6.5926558890474584e-07,1.225367580141775e-12
0.05,273.14999999999998,31.228381041666665,0.92972595237084443,4.6741620487190393e-12,1.2881387078390828e-06,4.6744063573523529e-12
0.06,273.14999999999998,31.228381041666665,0.92972595237084443,1.395665146895904e-11,2.2269828412780389e-06,1.395770259255241e-11
0.07,273.14999999999998,31.228381041666665,0.92972595237084443,3.5192496338175309e-11,3.5383935741118647e-06,3.519611094631337e-11
0.08,273.14999999999998,31.228381041666665,0.92972595237084443,7.8412992029859087e-11,5.2852944594744345e-06,7.8423525129073597e-11
0.09,273.14999999999998,31.228381041666665,0.92972595237084443,1.5895992675639187e-10,7.530995280379122e-06,1.5898695609329218e-10
0.1,273.14999999999998,31.228381041666665,0.92972595237084443,2.9909921007628671e-10,1.0339244333027584e-05,2.9916200687055032e-10
0.11,273.14999999999998,31.228381041666665,0.92972595237084443,5.2984904483331853e-10,1.3774287893386519e-05,5.2998374405359929e-10
0.12,273.14999999999998,31.228381041666665,0.92972595237084443,8.930226438796588e-10,1.7900924459059313e-05,8.9329296592335359e-10
0.13,273.14999999999998,31.228381041666665,0.92972595237084443,1.4434851771416635e-09,2.278456496792623e-05,1.4439978672208353e-09
0.14,273.14999999999998,31.228381041666665,0.92972595237084443,2.2516232855565534e-09,2.8491283310433123e-05,2.2525511005640582e-09
0.15,273.14999999999998,31.228381041666665,0.92972595237084443,3.4060309438307116e-09,3.5087881019222513e-05,3.4076422345098671e-09
0.16,273.14999999999998,31.228381041666665,0.92972595237084443,5.0164053184881131e-09,4.2641944205556549e-05,5.0191056082607102e-09
0.17,273.14999999999998,31.228381041666665,0.92972595237084443,7.2166574861755978e-09,5.1221889447670467e-05,7.2210435830163885e-09
0.18,273.14999999999998,31.228381041666665,0.92972595237084443,1.0168234990098735e-08,6.0897053763812592e-05,1.017516518997071e-08
0.19,273.14999999999998,31.228381041666665,0.92972595237084443,1.4063660544314729e-08,7.1737706216915535e-05,1.4074340174953102e-08
0.2,273.14999999999998,31.228381041666665,0.92972595237084443,1.9130269795816511e-08,8.3815153321949073e-05,1.9146368439715237e-08
0.21,273.14999999999998,31.228381041666665,0.92972595237084443,2.5634180782238753e-08,9.7201777769150767e-05,2.5657964879862478e-08
0.22,273.14999999999998,31.228381041666665,0.92972595237084443,3.3884454515741838e-08,0.00011197109849853004,3.3918959619430355e-08
0.23,273.14999999999998,31.228381041666665,0.92972595237084443,4.4237471021913367e-08,0.00012819783961675178,4.4286713642106054e-08
0.24,273.14999999999998,31.228381041666665,0.92972595237084443,5.7101531157767209e-08,0.00014595796090682313,5.717074981909467e-08
