diameter[mm],T[k],wavelength[mm],K2,radarsx[mm2],extxs[mm2],ray[mm2]
0.01,293.14999999999998,31.228381041666665,0.92677341123946633,2.9821105407681874e-16,5.9671254808722301e-09,2.9821195473101575e-16
0.02,293.14999999999998,31.228381041666665,0.92677341123946633,1.9085316067460275e-14,4.7745442013873179e-08,1.9085565102785008e-14
0.03,293.14999999999998,31.228381041666665,0.92677341123946633,2.173900611944188e-13,1.6118838869905653e-07,2.173965149989104e-13
0.04,293.14999999999998,31.228381041666665,0.92677341123946633,1.2214116446352049e-12,3.8223404277164961e-07,1.2214761665782405e-12
0.05,293.14999999999998,31.228381041666665,0.92677341123946633,4.6591760342817477e-12,7.46947361163196e-07,4.6595617926721223e-12
0.06,293.14999999999998,31.228381041666665,0.92677341123946633,1.3911716779034472e-11,1.2915639591860494e-06,1.3913376959930275e-11
0.07,293.14999999999998,31.228381041666665,0.92677341123946633,3.5078636016212977e-11,2.0525319802965613e-06,3.5084338262149246e-11
0.08,293.14999999999998,31.228381041666665,0.92677341123946633,7.8157865322310338e-11,3.0665555972207264e-06,7.8174474661007392e-11
0.09,293.14999999999998,31.228381041666665,0.92677341123946633,1.584394405387102e-10,4.3706389508909213e-06,1.5848205943420567e-10
0.1,293.14999999999998,31.228381041666665,0.92677341123946633,2.9811292395110409e-10,6.0021295912273656e-06,2.9821195473101557e-10
0.11,293.14999999999998,31.228381041666665,0.92677341123946633,5.2808833730747254e-10,7.998763590602236e-06,5.2830066873523289e-10
0.12,293.14999999999998,31.228381041666665,0.92677341123946633,8.900300862813419e-10,1.0398706606668084e-05,8.9045612543553701e-10
0.13,293.14999999999998,31.228381041666665,0.92677341123946633,1.4386038324816428e-09,1.324060523173368e-05,1.4394121470032596e-09
0.14,293.14999999999998,31.228381041666665,0.92677341123946633,2.243934922970244e-09,1.6563623769095801e-05,2.2453976487775542e-09
0.15,293.14999999999998,31.228381041666665,0.92677341123946633,3.3942795441640636e-09,2.0407495617411199e-05,3.3968205468579789e-09
0.16,293.14999999999998,31.228381041666665,0.92677341123946633,4.9989081152686501e-09,2.4812569661328884e-05,5.0031663783044731e-09
0.17,293.14999999999998,31.228381041666665,0.92677341123946633,7.1911942521222993e-09,2.9819851894139798e-05,7.1981116339447711e-09
0.18,293.14999999999998,31.228381041666665,0.92677341123946633,1.0131921819288193e-08,3.5471058918925307e-05,1.0142851803789173e-08
0.19,293.14999999999998,31.228381041666665,0.92677341123946633,1.4012795711015967e-08,4.1808655399504996e-05,1.4029644135052752e-08
0.2,293.14999999999998,31.228381041666665,0.92677341123946633,1.9060164275970795e-08,4.8875916391471518e-05,1.9085565102785013e-08
0.21,293.14999999999998,31.228381041666665,0.92677341123946633,2.5538945266245067e-08,5.6716955684615473e-05,2.5576482593106831e-08
0.22,293.14999999999998,31.228381041666665,0.92677341123946633,3.3756773236149046e-08,6.5376800466273349e-05,3.3811242799054905e-08
0.23,293.14999999999998,31.228381041666665,0.92677341123946633,4.4068328486373366e-08,7.4901413619631973e-05,4.4146071829033672e-08
0.24,293.14999999999998,31.228381041666665,0.92677341123946633,5.6879885238291759e-08,8.5337772835450759e-05,5.6989192027874408e-08
0.25,293.14999999999998,31.228381041666665,0.92677341123946633,7.2654099322030636e-08,9.6733884436024171e-05,7.2805653010501881e-08
0.26,293.14999999999998,31.228381041666665,0.92677341123946633,9.1914932629792043e-08,0.00010913886864336219,9.2122377408208617e-08
0.27,293.14999999999998,31.228381041666665,0.92677341123946633,1.1525280485298274e-07,0.00012260300824905353,1.1553342132753601e-07
0.28,293.14999999999998,31.228381041666665,0.92677341123946633,1.4332993588798572e-07,0.00013717776254739718,1.4370544952176347e-07
0.29,293.14999999999998,31.228381041666665,0.92677341123946633,1.7688610459926029e-07,0.0001529158902454513,1.7738342527500455e-07
0.3,293.14999999999998,31.228381041666665,0.92677341123946633,2.1674407655269113e-07,0.00016987141645912542,2.1739651499891041e-07
0.31,293.14999999999998,31.228381041666665,0.92677341123946633,2.6381590273225691e-07,0.00018809979036784195,2.6466420754198182e-07
0.32,293.14999999999998,31.228381041666665,0.92677341123946633,3.1910878163667319e-07,0.00020765782988508484,3.2020264821148628e-07
0.33,293.14999999999998,31.228381041666665,0.92677341123946633,3.8373166185680728e-07,0.00022860386277480599,3.851311875079849e-07
0.34,293.14999999999998,31.228381041666665,0.92677341123946633,4.5890158873407692e-07,0.00025099776809932973,4.6067914457246535e-07
0.35,293.14999999999998,31.228381041666665,0.92677341123946633,5.4595068151755817e-07,0.0002749009730110687,5.4819278534608261e-07
0.36,293.14999999999998,31.228381041666665,0.92677341123946633,6.4633290042591059e-07,0.00030037662737103255,6.4914251544250708e-07
0.37,293.14999999999998,31.228381041666665,0.92677341123946633,7.6163123273373641e-07,0.00032748952610756743,7.6513028773287933e-07
0.38,293.14999999999998,31.228381041666665,0.92677341123946633,8.9356465021337776e-07,0.00035630631444333202,8.9789722464337616e-07
0.39,293.14999999999998,31.228381041666665,0.92677341123946633,1.0439967469627361e-06,0.00038689542679605992,1.0493314551653761e-06
0.4,293.14999999999998,31.228381041666665,0.92677341123946633,1.2149416450759647e-06,0.00041932717622780963,1.2214761665782408e-06
0.41,293.14999999999998,31.228381041666665,0.92677341123946633,1.4085737310896204e-06,0.00045367391336732132,1.4165378708846982e-06
0.42,293.14999999999998,31.228381041666665,0.92677341123946633,1.6272343531350237e-06,0.0004900099818499037,1.6368948859588372e-06
0.43,293.14999999999998,31.228381041666665,0.92677341123946633,1.8734409060506677e-06,0.00052841184915973797,1.8851060314067032e-06
0.44,293.14999999999998,31.228381041666665,0.92677341123946633,2.149894250200533e-06,0.00056895805047607498,2.1639195391395139e-06
0.45,293.14999999999998,31.228381041666665,0.92677341123946633,2.4594888791988553e-06,0.00061172952297929072,2.4762821786594645e-06
0.46,293.14999999999998,31.228381041666665,0.92677341123946633,2.8053197696871988e-06,0.00065680936446558375,2.825348597058155e-06
0.47,293.14999999999998,31.228381041666665,0.92677341123946633,3.1906937082116264e-06,0.00070428311471464186,3.2144908737276196e-06
0.48,293.14999999999998,31.228381041666665,0.92677341123946633,3.6191355991664224e-06,0.0007542387258391381,3.6473082897839621e-06
0.49,293.14999999999998,31.228381041666665,0.92677341123946633,4.0943999480644714e-06,0.00080676676095301489,4.1276373122035987e-06
0.5,293.14999999999998,31.228381041666665,0.92677341123946633,4.6204793713032411e-06,0.00086196022228869206,4.6595617926721204e-06
0.51,293.14999999999998,31.228381041666665,0.92677341123946633,5.2016149877941981e-06,0.00091991491528985842,5.2474233811457362e-06
0.52,293.14999999999998,31.228381041666665,0.92677341123946633,5.8423045534931441e-06,0.00098072938256688015,5.8958321541253515e-06
0.53,293.14999999999998,31.228381041666665,0.92677341123946633,6.5473130245456626e-06,0.0010445048842660754,6.6096774576432337e-06
0.54,293.14999999999998,31.228381041666665,0.92677341123946633,7.3216866910367187e-06,0.0011113458944787679,7.3941389649623043e-06
0.55,293.14999999999998,31.228381041666665,0.92677341123946633,8.17075575014713e-06,0.0011813593669708722,8.2546979489880187e-06
0.56,293.14999999999998,31.228381041666665,0.92677341123946633,9.1001503542850501e-06,0.0012546558204812391,9.1971487693928621e-06
