{'aspect_ratio_func': 'dsr_thurai_2007', 'frequency': 13.6, 'canting': 10.0, 'elevation': 90.0, 'K2': 0.92512717854887216, 'n': (6.2818423594428365+3.0065050536044406j), 'prefactor': 0.0011990122637113656, 'wl': 22.043563088235295}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,1.19902077587e-15,1.19902077587e-15,2.04758759559e-08,1.19901226371e-15,-2.0894634061e-24,1.0
0.02,7.67389443593e-14,7.67389443593e-14,1.63835937872e-07,7.67367848775e-14,0.0,1.0
0.03,8.74135356202e-13,8.74135356202e-13,5.53109216977e-07,8.74079940246e-13,6.68628289952e-23,1.0
0.04,4.91170759347e-12,4.91170759347e-12,1.31161486021e-06,4.91115423216e-12,1.3372565799e-22,1.0
0.05,1.87378637601e-11,1.87378637601e-11,2.56310837976e-06,1.87345666205e-11,-2.67451315981e-22,1.0
0.060000000000000005,5.59552914244e-11,5.59552914244e-11,4.43192880571e-06,5.59411161757e-11,5.34902631961e-22,1.0
0.06999999999999999,1.41111251155e-10,1.41111251155e-10,7.04314479415e-06,1.41062593813e-10,-1.06980526392e-21,1.0
0.08,3.14455471047e-10,3.14455471047e-10,1.05227063564e-05,3.14313870858e-10,1.06980526392e-21,1.0
0.09,6.37567594619e-10,6.37567594619e-10,1.49975917104e-05,6.37204276439e-10,0.0,1.0
0.09999999999999999,1.19985635339e-09,1.19985635339e-09,2.05959576002e-05,1.19901226371e-09,-2.13961052784e-21,1.0
0.11,2.12593294804e-09,2.12593294804e-09,2.74472933937e-05,2.12412336491e-09,0.0,1.0
0.12,3.5838608924e-09,3.5838608924e-09,3.56825741489e-05,3.58023143525e-09,0.0,1.0
0.13,5.79428896573e-09,5.79428896573e-09,4.54344101649e-05,5.78740318559e-09,0.0,1.0
0.14,9.04046264038e-09,9.04046264038e-09,5.68372104715e-05,9.02800600406e-09,0.0,1.0
0.15000000000000002,1.36791339433e-08,1.36791339433e-08,7.0027334052e-05,1.36574990663e-08,0.0,1.0
0.16,2.01523432862e-08,2.01523432862e-08,8.51432464173e-05,2.01160877349e-08,0.0,1.0
0.17,2.90001251111e-08,2.90001251111e-08,0.000102325690742,2.89412412472e-08,8.55844211138e-21,1.0
0.18000000000000002,4.08741040756e-08,4.08741040756e-08,0.000121717817231,4.07810736921e-08,-1.71168842228e-20,1.0
0.19,5.6551963707e-08,5.6551963707e-08,0.000143465414596,5.64085882761e-08,0.0,1.0
0.2,7.69528992259e-08,7.69528992259e-08,0.000167716986739,7.67367848775e-08,1.71168842228e-20,1.0
0.21000000000000002,1.03153943333e-07,1.03153943333e-07,0.000194623998524,1.0283463089e-07,0.0,1.0
0.22,1.36407188007e-07,1.36407188007e-07,0.000224340969273,1.35943895354e-07,-1.71168842228e-20,1.0
0.23,1.78158019293e-07,1.78158019293e-07,0.000257025726698,1.7749684638e-07,3.42337684455e-20,1.0
0.24000000000000002,2.30064209307e-07,2.30064209307e-07,0.000292839522575,2.29134811856e-07,-3.42337684455e-20,1.0
0.25,2.94015991459e-07,2.94015991459e-07,0.000331947226119,2.92727603445e-07,0.0,1.0
0.26,3.72157116759e-07,3.72157116759e-07,0.000374517439473,3.70393803878e-07,1.02701305337e-19,1.0
0.27,4.66906758353e-07,4.66906758353e-07,0.000420722854323,4.64521917524e-07,0.0,1.0
0.28,5.80982783692e-07,5.80982783692e-07,0.000470740198018,5.7779238426e-07,6.8467536891e-20,1.0
0.29000000000000004,7.17425030756e-07,7.17425030756e-07,0.00052475060753,7.13200456621e-07,-1.36935073782e-19,1.0
0.3,8.79620923382e-07,8.79620923382e-07,0.000582939711625,8.74079940246e-07,0.0,1.0
0.31,1.07133114372e-06,1.07133114372e-06,0.000645497821834,1.06412779761e-06,-6.8467536891e-20,1.0
0.32,1.29671624866e-06,1.29671624866e-06,0.00071262020674,1.28742961504e-06,-1.36935073782e-19,1.0
0.33,1.56036529746e-06,1.56036529746e-06,0.000784507204667,1.54848593302e-06,0.0,1.0
0.34,1.86732429005e-06,1.86732429005e-06,0.000861364499647,1.85223943982e-06,6.8467536891e-20,1.0
0.35000000000000003,2.2231258669e-06,2.2231258669e-06,0.00094340319792,2.20410302833e-06,6.8467536891e-20,1.0
0.36000000000000004,2.63382169959e-06,2.63382169959e-06,0.00103084013849,2.60998871629e-06,0.0,1.0
0.37,3.10601333651e-06,3.10601333651e-06,0.00112389815432,3.07633742972e-06,0.0,1.0
0.38,3.64688516457e-06,3.64688516457e-06,0.00122280586208,3.61014964967e-06,0.0,1.0
0.39,4.26424009577e-06,4.26424009577e-06,0.00132779868159,4.2190169223e-06,0.0,1.0
0.4,4.96653466705e-06,4.96653466705e-06,0.00143911830914,4.91115423216e-06,-2.73870147564e-19,1.0
0.41000000000000003,5.76291307201e-06,5.76291307201e-06,0.00155701320616,5.69543323887e-06,0.0,1.0
0.42000000000000004,6.66325026465e-06,6.66325026465e-06,0.00168173887053,6.58141637696e-06,1.36935073782e-19,1.0
0.43,7.67818153597e-06,7.67818153597e-06,0.00181355788335,7.57939181912e-06,0.0,1.0
0.44,8.81915553733e-06,8.81915553733e-06,0.0019527405629,8.70040930268e-06,0.0,1.0
0.45,1.00984626193e-05,1.00984626193e-05,0.00209956476741,9.95631681936e-06,0.0,1.0
0.46,1.15292823545e-05,1.15292823545e-05,0.00225431589623,1.13597981683e-05,0.0,1.0
0.47000000000000003,1.31257290288e-05,1.31257290288e-05,0.00241728828866,1.29244113727e-05,-2.73870147564e-19,1.0
0.48000000000000004,1.49028948674e-05,1.49028948674e-05,0.00258878381352,1.46646279588e-05,-2.73870147564e-19,1.0
