{'canting': 10.0, 'prefactor': 0.011396793764373012, 'wl': 12.491352416666667, 'elevation': 90.0, 'n': (4.841689569774994+2.7864473083169736j), 'frequency': 24.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.90671577321381724}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,1.13969718061e-14,1.13969718061e-14,6.14703862018e-08,1.13967937644e-14,0.0,1.0
0.02,7.29440302073e-13,7.29440302073e-13,4.91884375037e-07,7.2939480092e-13,0.0,1.0
0.03,8.30942894987e-12,8.30942894987e-12,1.66079351015e-06,8.30826265423e-12,-1.51555745722e-22,1.0
0.04,4.66929042501e-11,4.66929042501e-11,3.93896998808e-06,4.66812672589e-11,0.0,1.0
0.05,1.78144277848e-10,1.78144277848e-10,7.69902641381e-06,1.78074902568e-10,0.0,1.0
0.060000000000000005,5.3202713638e-10,5.3202713638e-10,1.33160410022e-05,5.31728809871e-10,0.0,1.0
0.06999999999999999,1.34184506776e-09,1.34184506776e-09,2.11681903238e-05,1.34082138958e-09,-1.21244596578e-21,1.0
0.08,2.99057982638e-09,2.99057982638e-09,3.16373915007e-05,2.98760110457e-09,0.0,1.0
0.09,6.06436559161e-09,6.06436559161e-09,4.51099479071e-05,6.05672347493e-09,-4.84978386312e-21,1.0
0.09999999999999999,1.14145441022e-08,1.14145441022e-08,6.19772113474e-05,1.13967937644e-08,7.27467579467e-21,1.0
0.11,2.02281600896e-08,2.02281600896e-08,8.26362340832e-05,2.0190115358e-08,0.0,1.0
0.12,3.41069525775e-08,3.41069525775e-08,0.000107490481596,3.40306438317e-08,0.0,1.0
0.13,5.5154893673e-08,5.5154893673e-08,0.000136950453786,5.5010146713e-08,0.0,1.0
0.14,8.60744059566e-08,8.60744059566e-08,0.000171434443795,8.58125689334e-08,0.0,1.0
0.15000000000000002,1.30271267015e-07,1.30271267015e-07,0.000211369229755,1.29816603972e-07,-1.93991354525e-20,1.0
0.16,1.91968318968e-07,1.91968318968e-07,0.00025719073804,1.91206470692e-07,-3.87982709049e-20,1.0
0.17,2.76328098593e-07,2.76328098593e-07,0.000309344845058,2.75090895866e-07,0.0,1.0
0.18000000000000002,3.89584534592e-07,3.89584534592e-07,0.00036828810421,3.87630302396e-07,0.0,1.0
0.19,5.39183548423e-07,5.39183548423e-07,0.000434488442054,5.3617220322e-07,-1.93991354525e-20,1.0
0.2,7.33933462593e-07,7.33933462593e-07,0.000508426030807,7.2939480092e-07,3.87982709049e-20,1.0
0.21000000000000002,9.84163545929e-07,9.84163545929e-07,0.000590593931268,9.77458793007e-07,0.0,1.0
