{'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.87754755154950892, 'canting': 10.0, 'n': (4.0497824829740781+2.4190757857395004j), 'wl': 8.421136460674157, 'frequency': 35.6, 'elevation': 90.0, 'prefactor': 0.053399501463189308}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.34010592169e-14,5.34010592169e-14,1.27264377437e-07,5.33995014632e-14,6.38577580291e-24,1.0
0.02,3.41796658436e-12,3.41796658436e-12,1.01843040398e-06,3.41756809364e-12,-5.10862064233e-23,1.0
0.03,3.89384377112e-11,3.89384377112e-11,3.43898429565e-06,3.89282365667e-11,0.0,1.0
0.04,2.18826256436e-10,2.18826256436e-10,8.15760392237e-06,2.18724357993e-10,0.0,1.0
0.05,8.34974359646e-10,8.34974359646e-10,1.59477924752e-05,8.34367210362e-10,0.0,1.0
0.060000000000000005,2.49401698096e-09,2.49401698096e-09,2.75895457616e-05,2.49140714027e-09,0.0,1.0
0.06999999999999999,6.29135320726e-09,6.29135320726e-09,4.38710445495e-05,6.28239794764e-09,-3.26951721109e-21,1.0
0.08,1.40244144673e-08,1.40244144673e-08,6.55903924069e-05,1.39983589116e-08,0.0,1.0
0.09,2.84455238887e-08,2.84455238887e-08,9.35573639499e-05,2.83786844571e-08,3.26951721109e-21,1.0
0.09999999999999999,5.35547345343e-08,5.35547345343e-08,0.00012859521511,5.33995014632e-08,0.0,1.0
0.11,9.49331682548e-08,9.49331682548e-08,0.000171542530976,9.46004742116e-08,0.0,1.0
0.12,1.60117257696e-07,1.60117257696e-07,0.000223255098118,1.59450056977e-07,0.0,1.0
0.13,2.59014662777e-07,2.59014662777e-07,0.000284607791619,2.57749194258e-07,0.0,1.0
0.14,4.04362412077e-07,4.04362412077e-07,0.000356496570356,4.02073468649e-07,-1.30780688444e-20,1.0
0.15000000000000002,6.12227833618e-07,6.12227833618e-07,0.000439840547116,6.08253696354e-07,-1.30780688444e-20,1.0
0.16,9.02553634122e-07,9.02553634122e-07,0.000535583910403,8.9589497034e-07,0.0,1.0
0.17,1.29974658777e-06,1.29974658777e-06,0.000644698025555,1.28893415113e-06,-2.61561376887e-20,1.0
