{'prefactor': 0.00029916200687055036, 'n': (7.2039603178089227+2.8488829866788303j), 'K2': 0.92972595237084443, 'frequency': 9.6, 'wl': 31.22838104166667, 'elevation': 90.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'canting': 10.0}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.99163320387e-16,2.99163320387e-16,1.02942263748e-08,2.99162006871e-16,0.0,1.0
0.02,1.91467080272e-14,1.91467080272e-14,8.23646810307e-08,1.91463684397e-14,1.18402926346e-23,1.0
0.03,2.18097776998e-13,2.18097776998e-13,2.78041981008e-07,2.18089103009e-13,0.0,1.0
0.04,1.22545410716e-12,1.22545410716e-12,6.59265588904e-07,1.22536758014e-12,0.0,1.0
0.05,4.67492218212e-12,4.67492218212e-12,1.28813870784e-06,4.67440635735e-12,1.89444682153e-22,1.0
0.060000000000000005,1.39599218713e-11,1.39599218713e-11,2.22698284127e-06,1.39577025926e-11,-3.78889364306e-22,1.0
0.06999999999999999,3.52037252014e-11,3.52037252014e-11,3.53839357411e-06,3.51961109463e-11,0.0,1.0
0.08,7.84456792695e-11,7.84456792695e-11,5.28529445946e-06,7.84235251291e-11,-7.57778728612e-22,1.0
0.09,1.590438099e-10,1.590438099e-10,7.53099528036e-06,1.58986956093e-10,0.0,1.0
0.09999999999999999,2.99294101244e-10,2.99294101244e-10,1.0339244333e-05,2.99162006871e-10,0.0,1.0
0.11,5.30266855221e-10,5.30266855221e-10,1.37742878934e-05,5.29983744054e-10,-3.03111491445e-21,1.0
0.12,8.93860801077e-10,8.93860801077e-10,1.7900924459e-05,8.93292965923e-10,0.0,1.0
0.13,1.44507538856e-09,1.44507538856e-09,2.27845649679e-05,1.44399786722e-09,0.0,1.0
0.14,2.25450042728e-09,2.25450042728e-09,2.84912833104e-05,2.25255110056e-09,0.0,1.0
0.15000000000000002,3.41102776174e-09,3.41102776174e-09,3.50878810192e-05,3.40764223451e-09,0.0,1.0
0.16,5.02477961249e-09,5.02477961249e-09,4.26419442055e-05,5.01910560826e-09,-6.06222982889e-21,1.0
0.17,7.23025950819e-09,7.23025950819e-09,5.12218894476e-05,7.22104358302e-09,0.0,1.0
0.18000000000000002,1.01897239433e-08,1.01897239433e-08,6.08970537637e-05,1.017516519e-08,-1.21244596578e-20,1.0
0.19,1.40967802787e-08,1.40967802787e-08,7.17377062168e-05,1.4074340175e-08,0.0,1.0
0.2,1.91801950929e-08,1.91801950929e-08,8.38151533218e-05,1.91463684397e-08,0.0,1.0
0.21000000000000002,2.57079470433e-08,2.57079470433e-08,9.7201777769e-05,2.56579648799e-08,0.0,1.0
0.22,3.39914850791e-08,3.39914850791e-08,0.000111971098498,3.39189596194e-08,-2.42489193156e-20,1.0
0.23,4.4390217878e-08,4.4390217878e-08,0.000128197839617,4.42867136421e-08,0.0,1.0
0.24000000000000002,5.73162465258e-08,5.73162465258e-08,0.000145957960907,5.71707498191e-08,0.0,1.0
0.25,7.32393182257e-08,7.32393182257e-08,0.000165328801966,7.30375993336e-08,-2.42489193156e-20,1.0
0.26,9.26919521521e-08,9.26919521521e-08,0.000186389038902,9.24158635021e-08,-4.84978386312e-20,1.0
0.27,1.1627493549e-07,1.1627493549e-07,0.000209218829816,1.15901490992e-07,2.42489193156e-20,1.0
0.28,1.44662868307e-07,1.44662868307e-07,0.000233899807278,1.44163270436e-07,0.0,1.0
0.29000000000000004,1.78610107689e-07,1.78610107689e-07,0.000260515254632,1.77948538444e-07,0.0,1.0
0.3,2.18956891475e-07,2.18956891475e-07,0.000289150010172,2.18089103009e-07,0.0,1.0
0.31,2.6663562804e-07,2.6663562804e-07,0.000319890695567,2.65507382313e-07,-4.84978386312e-20,1.0
0.32,3.22677381438e-07,3.22677381438e-07,0.000352825698214,3.21222758929e-07,-4.84978386312e-20,1.0
0.33,3.88219024098e-07,3.88219024098e-07,0.000388045235054,3.86358149415e-07,9.69956772623e-20,1.0
0.34,4.64509953622e-07,4.64509953622e-07,0.000425641412287,4.62146789313e-07,0.0,1.0
0.35000000000000003,5.52919609476e-07,5.52919609476e-07,0.000465708388432,5.49939233536e-07,-9.69956772623e-20,1.0
0.36000000000000004,6.54944902606e-07,6.54944902606e-07,0.000508342317444,6.51210572158e-07,0.0,1.0
0.37,7.7221790266e-07,7.72217902659e-07,0.00055364145304,7.67567861597e-07,0.0,1.0
0.38,9.06514640756e-07,9.06514640756e-07,0.000601706380496,9.00757771197e-07,9.69956772623e-20,1.0
0.39,1.05976197933e-06,1.05976197933e-06,0.000652639808338,1.0526744452e-06,0.0,1.0
0.4,1.23404782015e-06,1.23404782015e-06,0.000706546829889,1.22536758014e-06,0.0,1.0
0.41000000000000003,1.43162842049e-06,1.43162842049e-06,0.000763534928417,1.42105071758e-06,-9.69956772623e-20,1.0
0.42000000000000004,1.65493840629e-06,1.65493840629e-06,0.000823714205579,1.64210975231e-06,-1.93991354525e-19,1.0
0.43,1.90660021081e-06,1.90660021081e-06,0.00088719718638,1.8911116559e-06,-9.69956772623e-20,1.0
0.44,2.18943237794e-06,2.18943237794e-06,0.000954099047719,2.17081341564e-06,0.0,1.0
0.45,2.50646119713e-06,2.50646119713e-06,0.0010245377905,2.48417118896e-06,0.0,1.0
0.46,2.86092920368e-06,2.86092920368e-06,0.0010986341473,2.83434967309e-06,1.93991354525e-19,1.0
0.47000000000000003,3.25630702484e-06,3.25630702484e-06,0.00117651172147,3.22473169031e-06,1.93991354525e-19,1.0
0.48000000000000004,3.69630281993e-06,3.69630281993e-06,0.00125829704689,3.65892798842e-06,0.0,1.0
0.49,4.18487341555e-06,4.18487341555e-06,0.00134411997196,4.14078725672e-06,0.0,1.0
0.5,4.7262362659e-06,4.7262362659e-06,0.00143411293202,4.67440635735e-06,-1.93991354525e-19,1.0
0.51,5.32487933389e-06,5.32487933389e-06,0.00152841221325,5.26414077202e-06,0.0,1.0
0.52,5.98557624986e-06,5.98557624986e-06,0.0016271569275,5.91461526414e-06,1.93991354525e-19,1.0
0.53,6.71339410612e-06,6.71339410612e-06,0.00173048974013,6.63073475636e-06,1.93991354525e-19,1.0
0.54,7.51370726308e-06,7.51370726308e-06,0.00183855676461,7.41769542349e-06,-1.93991354525e-19,1.0
0.55,8.39221318709e-06,8.39221318709e-06,0.00195150782727,8.28099600084e-06,0.0,1.0
0.56,9.35493912097e-06,9.35493912097e-06,0.00206949616332,9.22644930791e-06,0.0,1.0
0.5700000000000001,1.0408261696e-05,1.0408261696e-05,0.00219267899923,1.02601939875e-05,0.0,1.0
0.5800000000000001,1.15589147284e-05,1.15589147284e-05,0.00232121731489,1.13887064604e-05,0.0,1.0
0.59,1.2814011908e-05,1.2814011908e-05,0.00245527567193,1.26188130949e-05,0.0,1.0
0.6,1.41810436815e-05,1.41810436815e-05,0.00259502345777,1.39577025926e-05,0.0,1.0
0.61,1.56679145674e-05,1.56679145674e-05,0.00274063327154,1.54129385886e-05,0.0,1.0
0.62,1.72829434456e-05,1.72829434456e-05,0.00289228277703,1.6992472468e-05,0.0,1.0
0.63,1.90348744333e-05,1.90348744333e-05,0.00305015335315,1.87046563974e-05,0.0,1.0
0.64,2.09329045492e-05,2.09329045492e-05,0.00321443128555,2.05582565714e-05,0.0,1.0
0.65,2.2986693505e-05,2.2986693505e-05,0.00338530694575,2.25624666753e-05,0.0,1.0
0.66,2.52063833453e-05,2.52063833453e-05,0.00356297561267,2.47269215626e-05,-3.87982709049e-19,1.0
0.67,2.76026075196e-05,2.76026075196e-05,0.00374763712882,2.70617111479e-05,3.87982709049e-19,1.0
0.68,3.01865106515e-05,3.01865106515e-05,0.00393949679986,2.9577394516e-05,0.0,1.0
0.6900000000000001,3.29697742603e-05,3.29697742603e-05,0.00413876401954,3.22850142451e-05,0.0,1.0
0.7000000000000001,3.61051478529e-05,3.61051478529e-05,0.00435850230297,3.51961109463e-05,-3.87982709049e-19,0.99443805
0.7100000000000001,3.93541994443e-05,3.93541994443e-05,0.00457527188178,3.83227380185e-05,-7.75965418098e-19,0.993814308415
0.72,4.28439883064e-05,4.28439883064e-05,0.00480016339245,4.16774766181e-05,7.75965418098e-19,0.99322328064
0.73,4.65886578449e-05,4.65886578449e-05,0.00503340434159,4.52734508448e-05,0.0,0.992664030615
0.74,5.06029635102e-05,5.06029635102e-05,0.00527522855581,4.91243431422e-05,-7.75965418098e-19,0.99213562024
0.75,5.49022795669e-05,5.49022795669e-05,0.00552587380949,5.32444099142e-05,0.0,0.991637109375
0.76,5.95026688026e-05,5.95026688026e-05,0.005785585836,5.76484973566e-05,7.75965418098e-19,0.99116755584
0.77,6.44208755155e-05,6.44208755155e-05,0.00605461435252,6.23520575042e-05,1.5519308362e-18,0.990726015415
0.78,6.96743187253e-05,6.96743187252e-05,0.00633321555509,6.73711644931e-05,-7.75965418098e-19,0.99031154184
0.79,7.52811460129e-05,7.52811460129e-05,0.00662165342179,7.27225310387e-05,-7.75965418098e-19,0.989923186815
0.8,8.12602577611e-05,8.12602577611e-05,0.00692019560399,7.84235251291e-05,1.5519308362e-18,0.98956
0.81,8.76313155445e-05,8.76313155445e-05,0.0072291191365,8.44921869332e-05,3.10386167239e-18,0.989221029015
0.8200000000000001,9.44147479983e-05,9.44147479983e-05,0.00754870493078,9.09472459252e-05,3.10386167239e-18,0.98890531944
0.8300000000000001,0.00010163181658,0.00010163181658,0.00787924304655,9.78081382241e-05,-1.5519308362e-18,0.988611914815
0.8400000000000001,0.000109304594907,0.000109304594907,0.00822102962905,0.000105095024148,1.5519308362e-18,0.98833985664
0.85,0.000117456038039,0.000117456038039,0.0085743675838,0.000112828805985,0.0,0.988088184375
0.86,0.000126109941339,0.000126109941339,0.00893956745669,0.000121031145977,3.87982709049e-18,0.98785593544
0.87,0.00013529101318,0.00013529101318,0.00931694802199,0.000129724484526,7.75965418098e-19,0.987642145215
0.88,0.000145024934363,0.000145024934363,0.0097068348552,0.000138932058601,-1.5519308362e-18,0.98744584704
0.89,0.000155338281154,0.000155338281154,0.010109561361,0.000148677920381,0.0,0.987266072215
0.9,0.000166258657414,0.000166258657414,0.0105254695916,0.000158986956093,0.0,0.98710185
0.91,0.000177814666584,0.000177814666584,0.0109549100461,0.000169884905081,3.87982709049e-18,0.986952207615
0.92,0.000190035915028,0.000190035915028,0.0113982403188,0.000181398379078,7.75965418098e-19,0.98681617024
0.93,0.000202953148253,0.000202953148253,0.0118558275879,0.000193554881706,3.10386167239e-18,0.986692761015
0.9400000000000001,0.00021659810669,0.00021659810669,0.0123280473667,0.00020638282818,0.0,0.98658100104
0.9500000000000001,0.000231003772029,0.000231003772029,0.0128152850578,0.000219911565234,0.0,0.986479909375
0.9600000000000001,0.000246204175526,0.000246204175526,0.013317934321,0.000234171391259,0.0,0.98638850304
0.97,0.000262234657659,0.000262234657659,0.0138363981488,0.000249193576662,6.20772334479e-18,0.986305797015
0.98,0.00027913166881,0.00027913166881,0.0143710892078,0.00026501038443,1.5519308362e-18,0.98623080424
0.99,0.000296932936795,0.000296932936795,0.0149224307746,0.000281655090924,-1.5519308362e-18,0.986162535615
1.0,0.000315677611189,0.000315677611189,0.0154908553704,0.000299162006871,1.5519308362e-18,0.9861
1.01,0.000335405984137,0.000335405984136,0.0160768048454,0.000317566498587,0.0,0.986042204215
1.02,0.000356159788959,0.000356159788959,0.0166807332836,0.000336905009409,3.10386167239e-18,0.98598815304
1.03,0.000377982178518,0.000377982178518,0.0173031036874,0.000357215081338,4.65579250859e-18,0.985936849215
1.04,0.000400917774089,0.000400917774089,0.0179443907836,0.000378535376905,9.31158501718e-18,0.98588729344
1.05,0.000425012639489,0.000425012639489,0.0186050795881,0.000400905701248,-6.20772334479e-18,0.985838484375
1.06,0.000450314258766,0.000450314258766,0.0192856684357,0.000424367024407,9.31158501718e-18,0.98578941864
1.07,0.000476871940476,0.000476871940476,0.0199866638949,0.000448961503831,-1.5519308362e-18,0.985739090815
1.08,0.000504736307219,0.000504736307219,0.0207085871128,0.000474732507103,-7.75965418098e-18,0.98568649344
1.09,0.000533959838539,0.000533959838539,0.0214519691373,0.000501724634882,-1.5519308362e-18,0.985630617015
1.1,0.000564596587487,0.000564596587487,0.0222173543747,0.000529983744054,6.20772334479e-18,0.98557045
1.11,0.000596702436653,0.000596702436653,0.0230052979182,0.000559556971104,3.10386167239e-18,0.985504978815
1.12,0.000630335075227,0.000630335075227,0.0238163682187,0.000590492755706,6.20772334479e-18,0.98543318784
1.1300000000000001,0.000665553968298,0.000665553968298,0.0246511499684,0.000622840864518,-3.10386167239e-18,0.985354059415
1.1400000000000001,0.000702420559551,0.000702420559551,0.0255102360837,0.000656652415203,-3.10386167239e-18,0.98526657384
1.1500000000000001,0.000740998164656,0.000740998164656,0.0263942356721,0.000691979900658,0.0,0.985169709375
1.1600000000000001,0.000781352100497,0.000781352100497,0.0273037679585,0.000728877213466,0.0,0.98506244224
1.17,0.000823549661343,0.000823549661343,0.0282394690781,0.000767399670554,3.10386167239e-18,0.984943746615
1.18,0.000867660834173,0.000867660834173,0.0292019893943,0.000807604038074,9.31158501718e-18,0.98481259464
1.19,0.00091375684381,0.00091375684381,0.0301919929649,0.000849548556498,1.24154466896e-17,0.984667956415
1.2,0.000961911926759,0.000961911926759,0.0312101563547,0.000893292965923,9.31158501718e-18,0.9845088
1.21,0.00101220252441,0.00101220252441,0.0322571731594,0.000938898531599,1.24154466896e-17,0.984334091415
1.22,0.00106470696854,0.00106470696854,0.0333337512183,0.000986428069668,9.31158501718e-18,0.98414279464
1.23,0.00111950665426,0.00111950665426,0.0344406120642,0.00103594597312,-3.10386167239e-18,0.983933871615
1.24,0.0011766849848,0.0011766849848,0.0355784956313,0.00108751823795,0.0,0.98370628224
1.25,0.00123632860917,0.00123632860917,0.0367481561931,0.00114121248959,6.20772334479e-18,0.983458984375
1.26,0.00129852608025,0.00129852608025,0.0379503659406,0.00119709800943,9.31158501718e-18,0.98319093384
1.27,0.00136336893897,0.00136336893897,0.0391859071645,0.00125524576173,3.10386167239e-18,0.982901084415
1.28,0.00143095226298,0.00143095226298,0.0404555857775,0.00131572842057,6.20772334479e-18,0.98258838784
1.29,0.00150137296456,0.00150137296456,0.0417602212458,0.00137862039715,0.0,0.982251793815
1.3,0.00157473169075,0.00157473169075,0.0431006483316,0.00144399786722,0.0,0.98189025
1.31,0.00165113219142,0.00165113219142,0.044477721922,0.00151193879879,-3.10386167239e-18,0.981502702015
1.32,0.00173068071374,0.00173068071374,0.0458923139344,0.00158252298,-3.10386167239e-18,0.98108809344
1.33,0.00181348777941,0.00181348777941,0.0473453132628,0.00165583204724,3.10386167239e-18,0.980645365815
1.34,0.00189966652818,0.00189966652818,0.0488376240826,0.00173194951347,-3.10386167239e-18,0.98017345864
1.35,0.00198933386771,0.00198933386771,0.0503701757041,0.00181096079675,-9.31158501718e-18,0.979671309375
1.36,0.00208261053176,0.00208261053176,0.0519439095199,0.00189295324903,6.20772334479e-18,0.97913785344
1.37,0.00217962067498,0.00217962067498,0.0535597856721,0.00197801618507,0.0,0.978572024215
1.3800000000000001,0.00228049253039,0.00228049253039,0.0552187926168,0.00206624091169,0.0,0.97797275304
1.3900000000000001,0.00238535823466,0.00238535823466,0.0569219195523,0.00215772075709,-3.10386167239e-18,0.977338969215
1.4000000000000001,0.00249435394533,0.00249435394533,0.0586701940463,0.00225255110056,0.0,0.9766696
1.4100000000000001,0.00260761962237,0.00260761962237,0.0604646525177,0.00235082940224,6.20772334479e-18,0.975963570615
1.42,0.00272530100234,0.00272530100234,0.062306355089,0.00245265523318,-6.20772334479e-18,0.97521980424
1.43,0.00284754636227,0.00284754636227,0.0641963772402,0.00255813030565,6.20772334479e-18,0.974437222015
1.44,0.00297451037624,0.00297451037624,0.0661358194897,0.00266735850356,6.20772334479e-18,0.97361474304
1.45,0.00310635168968,0.00310635168968,0.068125800176,0.00278044591318,0.0,0.972751284375
1.46,0.00324323377432,0.00324323377432,0.0701674573794,0.00289750085407,0.0,0.97184576104
1.47,0.0033853266802,0.0033853266802,0.0722619566452,0.00301863391015,1.86231700344e-17,0.970897086015
1.48,0.00353280319184,0.00353280319184,0.0744104738684,0.0031439579611,1.24154466896e-17,0.96990417024
1.49,0.00368584369451,0.00368584369451,0.0766142120878,0.00327358821388,1.24154466896e-17,0.968865922615
1.5,0.00385329613426,0.00385329613426,0.0789214707478,0.00340764223451,2.48308933791e-17,0.964650440625
1.51,0.00401715507652,0.00401715507652,0.0812331558487,0.00354623998005,-6.20772334479e-18,0.963951808312
1.52,0.00418691233513,0.00418691233513,0.0836029301985,0.00368950383082,1.86231700344e-17,0.963252959951
1.53,0.00436274318551,0.00436274318551,0.086032052122,0.0038375586228,6.20772334479e-18,0.962553898647
1.54,0.00454482703686,0.00454482703686,0.0885218070732,0.00399053168027,1.86231700344e-17,0.961854627499
1.55,0.00473334831694,0.00473334831694,0.0910735073346,0.00414855284864,6.20772334479e-18,0.961155149594
1.56,0.00492849572163,0.00492849572163,0.0936884795455,0.00431175452756,0.0,0.960455468009
1.57,0.0051304606551,0.0051304606551,0.0963680872289,0.00448027170413,1.86231700344e-17,0.959755585812
1.58,0.00533944159093,0.00533944159093,0.0991137078788,0.00465424198648,2.48308933791e-17,0.959055506061
1.59,0.00555563965891,0.00555563965891,0.101926752985,0.00483380563738,2.48308933791e-17,0.958355231804
1.6,0.00577926160127,0.00577926160127,0.104808654559,0.00501910560826,1.86231700344e-17,0.95765476608
1.61,0.00601051880869,0.00601051880869,0.107760871664,0.00521028757328,3.72463400687e-17,0.956954111916
1.62,0.00624962833684,0.00624962833684,0.110784897608,0.00540749996372,4.34540634135e-17,0.956253272332
1.6300000000000001,0.00649680940226,0.00649680940225,0.113882246073,0.00561089400256,1.86231700344e-17,0.955552250336
1.6400000000000001,0.00675228885915,0.00675228885915,0.117054451553,0.00582062373922,2.48308933791e-17,0.954851048927
1.6500000000000001,0.00701629869649,0.00701629869649,0.120303089008,0.00603684608461,1.86231700344e-17,0.954149671094
