{'elevation': 90.0, 'wl': 8.421136460674157, 'frequency': 35.6, 'n': (4.632901044390343+2.656551854367546j), 'K2': 0.8977928162963439, 'canting': 10.0, 'prefactor': 0.05463144273242579, 'aspect_ratio_func': 'dsr_thurai_2007'}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.463324308996176e-14,5.4633243089959564e-14,9.891752294911323e-08,5.46314427324258e-14,6.3857758029080155e-24,1.0
0.02,3.4968741522080393e-12,3.4968741522078983e-12,7.917090687453898e-07,3.496412334875251e-12,-5.1086206423264124e-23,1.0
0.03,3.983814963105799e-11,3.9838149631056386e-11,2.6741008660358463e-06,3.982632175193839e-11,0.0,1.0
0.04,2.2388851452818891e-10,2.2388851452818e-10,6.345547110847147e-06,2.2377038943201607e-10,-4.08689651386113e-22,1.0
0.05,8.543200905175389e-10,8.543200905175048e-10,1.2411139380718559e-05,8.536162926941533e-10,0.0,1.0
0.060000000000000005,2.5519105751304546e-09,2.551910575130353e-09,2.148354392929253e-05,2.5488845921240587e-09,8.17379302772226e-22,1.0
0.06999999999999999,6.4377184954891135e-09,6.437718495488856e-09,3.4184981129660666e-05,6.427334606027158e-09,0.0,1.0
0.08,1.4351520751057453e-08,1.4351520751056876e-08,5.1149249575611054e-05,1.4321304923649028e-08,-6.539034422177808e-21,1.0
0.09,2.91109017053249e-08,2.9110901705323736e-08,7.30237707325462e-05,2.9033388557163086e-08,0.0,1.0
0.09999999999999999,5.481148347401413e-08,5.4811483474011925e-08,0.00010047170420141771,5.4631442732425766e-08,0.0,1.0
0.11,9.716878991111332e-08,9.71687899111094e-08,0.00013417408598767575,9.678293331849897e-08,6.539034422177808e-21,1.0
0.12,1.6390248988086784e-07,1.6390248988086128e-07,0.00017483205543593322,1.6312861389593965e-07,1.3078068844355616e-20,1.0
0.13,2.651634284710698e-07,2.651634284710592e-07,0.00022316907376535285,2.6369553946385745e-07,1.3078068844355616e-20,1.0
0.14,4.140046018731416e-07,4.14004601873125e-07,0.00027993326376205625,4.1134941478573855e-07,-1.3078068844355616e-20,1.0
0.15000000000000002,6.268965435677781e-07,6.26896543567753e-07,0.0003458997725138272,6.222862773740381e-07,0.0,1.0
0.16,9.242883018507607e-07,9.242883018507235e-07,0.00042187318192431103,9.165635151135378e-07,-2.615613768871123e-20,1.0
0.17,1.3312143708922e-06,1.3312143708921469e-06,0.0005086900474321791,1.3186702185234765e-06,-2.615613768871123e-20,1.0
