{'elevation': 90.0, 'canting': 10.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'K2': 0.9287969731779052, 'frequency': 9.6, 'n': (7.799630675745488+2.423234751141455j), 'wl': 31.22838104166667, 'prefactor': 0.00029886308515174494}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.988622252496058e-16,2.988622252496058e-16,7.669108102960268e-09,2.98863085151745e-16,0.0,1.0
0.02,1.9127020398572818e-14,1.9127020398572818e-14,6.136280943359942e-08,1.912723744971168e-14,-1.1840292634558614e-23,1.0
0.03,2.1786559713043462e-13,2.1786559713043462e-13,2.071554764518962e-07,2.1787118907562202e-13,0.0,1.0
0.04,1.2240872058683106e-12,1.2240872058683106e-12,4.912211644105243e-07,1.2241431967815476e-12,0.0,1.0
0.05,4.66940207426377e-12,4.66940207426377e-12,9.598838410732741e-07,4.669735705496017e-12,0.0,1.0
0.060000000000000005,1.3942322659082313e-11,1.3942322659082313e-11,1.6596673693190746e-06,1.3943756100839819e-11,3.7888936430587565e-22,1.0
0.06999999999999999,3.5156020661078204e-11,3.5156020661078204e-11,2.63734665930863e-06,3.516094310501762e-11,0.0,1.0
0.08,7.833082942994045e-11,7.833082942994045e-11,3.939997476635663e-06,7.834516459401904e-11,-7.577787286117513e-22,1.0
0.09,1.587913172941039e-10,1.587913172941039e-10,5.615048937072231e-06,1.5882809683612845e-10,0.0,1.0
0.09999999999999999,2.9877767193245173e-10,2.9877767193245173e-10,7.710333462257252e-06,2.988630851517448e-10,0.0,1.0
0.11,5.292710325715998e-10,5.292710325715998e-10,1.0274139073250402e-05,5.294541859945105e-10,0.0,1.0
0.12,8.920330681496499e-10,8.920330681496499e-10,1.3355261448924774e-05,8.924003904537478e-10,0.0,1.0
0.13,1.4418579716639866e-09,1.4418579716639864e-09,1.7003055595202724e-05,1.4425550291782093e-09,-3.0311149144470052e-21,1.0
0.14,2.249039382955567e-09,2.249039382955567e-09,2.126749271241332e-05,2.2503003587211303e-09,-3.0311149144470052e-21,1.0
0.15000000000000002,3.4020473261290786e-09,3.4020473261290786e-09,2.619920361491635e-05,3.4042373293065978e-09,0.0,1.0
0.16,5.010420323273451e-09,5.010420323273449e-09,3.184954571859541e-05,5.014090534017219e-09,-1.2124459657788021e-20,1.0
0.17,7.207866518770699e-09,7.207866518770699e-09,3.82706411580745e-05,7.2138283394031215e-09,6.0622298288940105e-21,1.0
0.18000000000000002,1.0155579393603321e-08,1.0155579393603321e-08,4.551545266223732e-05,1.0164998197512231e-08,1.2124459657788021e-20,1.0
0.19,1.404575971185055e-08,1.404575971185055e-08,5.363781004939844e-05,1.406027713934186e-08,0.0,1.0
0.2,1.9105353421646216e-08,1.9105353421646216e-08,6.269249829343192e-05,1.9127237449711685e-08,0.0,1.0
0.21000000000000002,2.5599991458364575e-08,2.5599991458364575e-08,7.273528645216429e-05,2.5632327523557873e-08,0.0,1.0
0.22,3.383814675059561e-08,3.383814675059561e-08,8.382299660950538e-05,3.388506790364867e-08,0.0,1.0
0.23,4.417549904155068e-08,4.417549904155068e-08,9.601356020694368e-05,4.424246249972127e-08,0.0,1.0
0.24000000000000002,5.701949488937485e-08,5.701949488937485e-08,0.00010936607778760761,5.71136249890399e-08,0.0,1.0
0.25,7.283411889905921e-08,7.283411889905921e-08,0.00012394087347112928,7.296462039837523e-08,0.0,1.0
0.26,9.214490578159013e-08,9.214490578159013e-08,0.0001397995415725412,9.23235218674054e-08,0.0,1.0
0.27,1.155440759011487e-07,1.155440759011487e-07,0.0001570050558766267,1.157856825935377e-07,2.4248919315576042e-20,1.0
0.28,1.4369599688252196e-07,1.4369599688252196e-07,0.0001756217507138778,1.4401922295815234e-07,0.0,1.0
0.29000000000000004,1.773427016671265e-07,1.773427016671265e-07,0.00019571544512983252,1.7777073283426683e-07,2.4248919315576042e-20,1.0
0.3,2.1730975102877903e-07,2.1730975102877903e-07,0.0002173535091568194,2.1787118907562202e-07,-4.8497838631152084e-20,1.0
