{'aspect_ratio_func': 'dsr_thurai_2007', 'prefactor': 2.2779585408963192, 'elevation': 90.0, 'canting': 10.0, 'frequency': 94.0, 'wl': 3.1892814680851065, 'K2': 0.77013675275255478, 'n': (3.1560980708540423+1.7011673136580374j)}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.27834675648e-12,2.27834675648e-12,5.04890926923e-07,2.2779585409e-12,0.0,1.0
0.02,1.45888462163e-10,1.45888462163e-10,4.04325987033e-06,1.45789346617e-10,1.54780336057e-22,1.0
0.03,1.66316832667e-09,1.66316832667e-09,1.36695464002e-05,1.66063177631e-09,0.0,1.0
0.04,9.35582964329e-09,9.35582964329e-09,3.24810515759e-05,9.33051818351e-09,1.23824268845e-21,1.0
0.05,3.57438326755e-08,3.57438326755e-08,6.36410276711e-05,3.55931022015e-08,0.0,1.0
0.060000000000000005,1.0692803805e-07,1.0692803805e-07,0.000110403059601,1.06280433684e-07,0.0,1.0
0.06999999999999999,2.7022054527e-07,2.7022054527e-07,0.000176136825942,2.67999544378e-07,0.0,1.0
0.08,6.03612828338e-07,6.03612828338e-07,0.000264355355738,5.97153163745e-07,0.0,1.0
0.09,1.2271653109e-06,1.2271653109e-06,0.000378743854918,1.21060056493e-06,0.0,1.0
0.09999999999999999,2.31642049871e-06,2.31642049871e-06,0.000523190331646,2.2779585409e-06,0.0,1.0
0.11,4.11795385841e-06,4.11795385841e-06,0.00070181799189,4.03554251067e-06,0.0,1.0
0.12,6.96719778354e-06,6.96719778354e-06,0.000919019504239,6.80194775578e-06,0.0,1.0
0.13,1.13086773137e-05,1.13086773137e-05,0.00117949344718,1.09952707868e-05,0.0,1.0
0.14,1.77188410543e-05,1.77188410543e-05,0.00148828324353,1.71519708402e-05,3.96237660306e-20,1.0
0.15000000000000002,2.69316311166e-05,2.69316311166e-05,0.00185081777711,2.59473715049e-05,-3.96237660306e-20,1.0
0.16,3.98670421722e-05,3.98670421722e-05,0.00227295501854,3.82178024797e-05,0.0,1.0
0.17,5.76628028379e-05,5.76628028379e-05,0.00276102814293,5.498438146e-05,0.0,1.0
0.18000000000000002,8.17095035447e-05,8.17095035447e-05,0.00332189424168,7.74784361557e-05,0.0,1.0
0.19,0.000113689317031,0.000113689317031,0.0039629864683,0.000107168566438,0.0,1.0
0.2,0.000155618651205,0.000155618651205,0.00469236838989,0.000145789346617,0.0,1.0
0.21000000000000002,0.000209894834556,0.000209894834556,0.00551879166151,0.000195371667851,3.16990128244e-19,1.0
0.22,0.000279347537824,0.000279347537824,0.00645175740976,0.000258274720683,0.0,1.0
0.23,0.000367294417057,0.000367294417057,0.00750158027143,0.000337219617707,0.0,1.0
0.24000000000000002,0.000477602455391,0.000477602455391,0.00867945703814,0.00043532465637,3.16990128244e-19,1.0
0.25,0.000614753956955,0.000614753956955,0.00999753582319,0.000556142221899,1.58495064122e-19,1.0
0.26,0.000783918362367,0.000783918362366,0.0114689922131,0.000703697330357,-3.16990128244e-19,1.0
0.27,0.000991030351753,0.000991030351753,0.0131081081736,0.000882527811836,0.0,1.0
0.28,0.00124287379684,0.00124287379684,0.0149303496648,0.00109772613377,0.0,1.0
0.29000000000000004,0.00154717172281,0.00154717172281,0.016952453524,0.0013549828644,0.0,1.0
0.3,0.00191268425481,0.00191268425481,0.0191925129633,0.00166063177631,0.0,1.0
0.31,0.00234931151038,0.00234931151038,0.0216700714001,0.00202169659021,0.0,1.0
0.32,0.00286820549087,0.00286820549087,0.0244062059315,0.0024459393587,0.0,1.0
0.33,0.00348188717996,0.00348188717996,0.0274236301898,0.00294191049028,6.33980256489e-19,1.0
0.34,0.00420437341472,0.00420437341472,0.0307467837811,0.00351900041344,0.0,1.0
0.35000000000000003,0.00505130542619,0.00505130542619,0.0344019194566,0.0041874928809,0.0,1.0
0.36000000000000004,0.00604009257895,0.00604009257895,0.0384172171202,0.00495861991396,0.0,1.0
0.37,0.00719005200789,0.00719005200789,0.0428228477005,0.00584461838698,0.0,1.0
0.38,0.00852256475022,0.00852256475022,0.0476510874723,0.00685878825203,0.0,1.0
0.39,0.0100612260457,0.0100612260457,0.0529363833446,0.0080155524036,0.0,1.0
0.4,0.0118320123342,0.0118320123342,0.0587154325553,0.00933051818351,0.0,1.0
0.41000000000000003,0.0138634348692,0.0138634348692,0.0650272547527,0.0108205405259,-1.26796051298e-18,1.0
0.42000000000000004,0.0161867152149,0.0161867152149,0.0719132340765,0.0125037867425,0.0,1.0
0.43,0.0188359380821,0.0188359380821,0.079417185397,0.0143998029476,0.0,1.0
0.44,0.0218482184764,0.0218482184764,0.0875853496235,0.0165295821237,0.0,1.0
0.45,0.0252638528745,0.0252638528745,0.096466407056,0.0189156338271,-1.26796051298e-18,1.0
0.46,0.0291264708159,0.0291264708159,0.106111475512,0.0215820555332,0.0,1.0
0.47000000000000003,0.0334831728609,0.0334831728609,0.116574037313,0.0245546056229,0.0,1.0
0.48000000000000004,0.0383846427159,0.0383846427159,0.127909868856,0.0278607780077,0.0,1.0
0.49,0.0438852541326,0.0438852541326,0.140176930699,0.0315298783965,0.0,1.0
0.5,0.0500431463638,0.0500431463638,0.153435226763,0.0355931022015,0.0,1.0
0.51,0.0569202675384,0.0569202675384,0.167746602011,0.0400836140844,-2.53592102596e-18,1.0
0.52,0.06458241141,0.06458241141,0.183174466589,0.0450366291428,2.53592102596e-18,1.0
0.53,0.0730991420166,0.0730991420166,0.199783576654,0.0504894957373,0.0,1.0
0.54,0.0825438042811,0.0825438042811,0.217639660998,0.0564817799575,0.0,1.0
0.55,0.0929933181621,0.0929933181621,0.236809007888,0.0630553517292,2.53592102596e-18,1.0
0.56,0.104528054249,0.104528054249,0.257358061746,0.0702544725614,0.0,1.0
0.5700000000000001,0.117231595276,0.117231595276,0.279352896829,0.0781258849333,0.0,1.0
0.5800000000000001,0.131190431434,0.131190431434,0.302858701339,0.0867189033214,0.0,1.0
0.59,0.146493609568,0.146493609568,0.327939129608,0.0960855068671,0.0,1.0
0.6,0.163232254311,0.163232254311,0.35465567412,0.106280433684,0.0,1.0
0.61,0.181499115442,0.181499115442,0.383067057974,0.117361276806,0.0,1.0
0.62,0.201387923015,0.201387923015,0.413228396011,0.129388581773,5.07184205191e-18,1.0
0.63,0.222992823194,0.222992823194,0.445190496115,0.142425945864,0.0,1.0
0.64,0.246407589249,0.246407589249,0.478999247817,0.156540118957,7.60776307787e-18,1.0
0.65,0.271724776639,0.271724776639,0.514694524927,0.171801106044,0.0,1.0
0.66,0.299035023238,0.299035023238,0.552309837581,0.188282271378,0.0,1.0
0.67,0.328426005662,0.328426005662,0.591871216727,0.206060444258,0.0,1.0
0.68,0.359981545289,0.359981545289,0.633396738177,0.22521602646,0.0,1.0
0.6900000000000001,0.393780545346,0.393780545346,0.676895743719,0.245833101308,-5.07184205191e-18,1.0
