{'frequency': 35.6, 'K2': 0.9076711324657145, 'n': (5.198742318859741+2.776527278824784j), 'aspect_ratio_func': 'dsr_thurai_2007', 'wl': 8.421136460674157, 'canting': 10.0, 'elevation': 90.0, 'prefactor': 0.055232546521968295}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.523463109617624e-14,5.5234631096174016e-14,7.883263468658206e-08,5.5232546521968307e-14,6.3857758029080155e-24,1.0
0.02,3.5354163442016923e-12,3.53541634420155e-12,6.310765453043565e-07,3.5348829774059716e-12,5.1086206423264124e-23,1.0
0.03,4.027818641803311e-11,4.027818641803148e-11,2.132228470971666e-06,4.026452641451488e-11,0.0,1.0
0.04,2.2636896620401694e-10,2.2636896620400784e-10,5.0619822798643274e-06,2.2623251055398218e-10,0.0,1.0
0.05,8.638217067283332e-10,8.638217067282984e-10,9.906374252508588e-06,8.630085394057549e-10,8.17379302772226e-22,1.0
0.060000000000000005,2.580426135381361e-09,2.5804261353812577e-09,1.715996926400664e-05,2.576929690528954e-09,1.634758605544452e-21,1.0
0.06999999999999999,6.510052463335509e-09,6.5100524633352486e-09,2.7328087404164903e-05,6.498053865763044e-09,1.634758605544452e-21,1.0
0.08,1.4513797741544372e-08,1.451379774154379e-08,4.092907440262011e-05,1.447888067545486e-08,0.0,1.0
0.09,2.9442420590034364e-08,2.944242059003318e-08,5.8496635322948456e-05,2.9352839756181345e-08,3.269517211088904e-21,1.0
0.09999999999999999,5.544063317728196e-08,5.544063317727974e-08,8.05822081814431e-05,5.523254652196827e-08,0.0,1.0
0.11,9.829384488526974e-08,9.829384488526579e-08,0.00010775741037542944,9.784782534900468e-08,0.0,1.0
0.12,1.6581811372970056e-07,1.6581811372969392e-07,0.0001406165487190837,1.6492350019385295e-07,0.0,1.0
0.13,2.6829400512285636e-07,2.682940051228456e-07,0.0001797791553088456,2.665969526451553e-07,0.0,1.0
0.14,4.1894552908941334e-07,4.189455290893965e-07,0.00022589271574934006,4.158754474088353e-07,0.0,1.0
0.15000000000000002,6.344644388638143e-07,6.344644388637889e-07,0.0002796353166657755,6.291332252267957e-07,0.0,1.0
0.16,9.355820802127205e-07,9.355820802126832e-07,0.00034171843372751606,9.26648363229111e-07,0.0,1.0
0.17,1.3476882817600117e-06,1.3476882817599577e-06,0.00041288998605302325,1.3331794027197203e-06,0.0,1.0
