{'wl': 3.1892814680851065, 'n': (3.4307881253551207+1.9525018267509986j), 'elevation': 90.0, 'aspect_ratio_func': 'dsr_thurai_2007', 'frequency': 94.0, 'K2': 0.817877254303128, 'canting': 10.0, 'prefactor': 2.419168375208361}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.4196050334424893e-12,2.4196050334423923e-12,4.4655323159891027e-07,2.4191683752083614e-12,0.0,1.0
0.02,1.5493845256540061e-10,1.549384525653944e-10,3.577084340466899e-06,1.5482677601333513e-10,0.0,1.0
0.03,1.7664334133797942e-09,1.7664334133797235e-09,1.209919102839659e-05,1.7635737455268948e-09,0.0,1.0
0.04,9.937456558908868e-09,9.937456558908468e-09,2.876874706627386e-05,9.908913664853448e-09,-1.2382426884549467e-21,1.0
0.05,3.7969507921649694e-08,3.796950792164817e-08,5.641590036443899e-05,3.7799505862630654e-08,2.4764853769098933e-21,1.0
0.060000000000000005,1.1359924018469025e-07,1.1359924018468567e-07,9.79725134790464e-05,1.1286871971372135e-07,0.0,1.0
0.06999999999999999,2.8711850525063125e-07,2.8711850525061976e-07,0.00015650121136383588,2.8461274017488826e-07,4.952970753819787e-21,1.0
0.08,6.414591865428718e-07,6.414591865428459e-07,0.0002352261530939267,6.341704745506207e-07,0.0,1.0
0.09,1.304337588318776e-06,1.3043375883187236e-06,0.00033756568709948973,1.2856452604891061e-06,0.0,1.0
0.09999999999999999,2.462573847753648e-06,2.46257384775355e-06,0.0004671669445850195,2.4191683752083597e-06,0.0,1.0
0.11,4.378714216026655e-06,4.37871421602648e-06,0.000627942724304873,4.285704345952499e-06,0.0,1.0
0.12,7.410109178647148e-06,7.4101091786468524e-06,0.0008241106413521787,7.223598061678161e-06,0.0,1.0
0.13,1.2030604429960191e-05,1.2030604429959712e-05,0.0010602347231643088,1.1676863685971096e-05,0.0,1.0
0.14,1.8855045752658144e-05,1.8855045752657395e-05,0.0013412695050081648,1.821521537119287e-05,-3.9623766030558293e-20,1.0
0.15000000000000002,2.8666773305824028e-05,2.866677330582289e-05,0.0016726074946287603,2.7555839773857762e-05,-3.9623766030558293e-20,1.0
0.16,4.244835723171846e-05,4.244835723171678e-05,0.0020601289382765776,4.0586910371239724e-05,0.0,1.0
0.17,6.141574260000211e-05,6.141574259999969e-05,0.002510254847735124,5.839284357920972e-05,0.0,1.0
0.18000000000000002,8.705619052482607e-05,8.705619052482263e-05,0.003030003459180904,8.228129667130287e-05,-2.3774259618334975e-19,1.0
0.19,0.00012117005820435452,0.00012117005820434975,0.0036270507491034075,0.0001138119074990159,0.0,1.0
0.2,0.00016591693790348627,0.00016591693790347976,0.004309792546335333,0.00015482677601333516,1.5849506412223317e-19,1.0
0.21000000000000002,0.00022386622649247452,0.00022386622649246573,0.005087412125237189,0.0002074826875874938,0.0,1.0
0.22,0.0002980527008496286,0.00029805270084961693,0.005969951027364909,0.00027428507814095994,0.0,1.0
0.23,0.0003920368251260899,0.0003920368251260746,0.006968382886836449,0.0003581237410646553,0.0,1.0
0.24000000000000002,0.0005099710692732544,0.0005099710692732344,0.00809469196852279,0.00046231027594740263,0.0,1.0
0.25,0.0006566712738876382,0.0006566712738876125,0.009361954341260538,0.0005906172791036037,0.0,1.0
0.26,0.0008376943242292044,0.0008376943242291718,0.010784423417930823,0.0007473192759021502,3.1699012824446635e-19,1.0
0.27,0.0010594223178632968,0.0010594223178632556,0.012377617974115154,0.0009372353948965589,9.50970384733399e-19,1.0
0.28,0.0013291524698826407,0.0013291524698825893,0.014158414603193583,0.0011657737837563436,0.0,1.0
0.29000000000000004,0.0016551946381746301,0.0016551946381745662,0.0161451387288335,0.0014389777669996122,0.0,1.0
0.3,0.0020469741420295388,0.00204697414202946,0.018357666300376788,0.0017635737455268946,0.0,1.0
0.31,0.0025151430301572956,0.002515143030157199,0.02081751384387714,0.002147020837956209,3.1699012824446635e-19,1.0
0.32,0.003071696776827266,0.003071696776827148,0.023547941862041264,0.0025975622637593424,0.0,1.0
0.33,0.003730098042705959,0.0037300980427058157,0.026574045220181183,0.003124278468199373,0.0,1.0
0.34,0.004505407876857862,0.004505407876857688,0.02992285872729464,0.003737141989069422,-6.339802564889327e-19,1.0
0.35000000000000003,0.005414418970952519,0.005414418970952313,0.03362343626856032,0.004447074065232635,0.0,1.0
0.36000000000000004,0.006475800010815765,0.006475800010815521,0.03770694495318173,0.005266002986963384,6.339802564889327e-19,1.0
0.37,0.00771023843647123,0.007710238436470939,0.04220673891770025,0.006206924188089711,1.2679605129778654e-18,1.0
0.38,0.009140589228527111,0.009140589228526766,0.04715843696813331,0.007283962079937018,0.0,1.0
0.39,0.010792029606302727,0.010792029606302319,0.05259996975956919,0.008512433627072928,0.0,1.0
0.4,0.012692207674291776,0.012692207674291295,0.05857163286659053,0.00990891366485345,1.2679605129778654e-18,1.0
0.41000000000000003,0.014871385609848143,0.014871385609847586,0.0651161011354067,0.011491301958770319,0.0,1.0
0.42000000000000004,0.017362600686364436,0.017362600686363788,0.07227844784837552,0.013278892005599603,0.0,1.0
0.43,0.020201793933897393,0.020201793933896633,0.0801061085633568,0.015292441576351498,0.0,1.0
0.44,0.023427939814782202,0.02342793981478133,0.08864884776840325,0.017554245001021436,0.0,1.0
0.45,0.027083174976818208,0.027083174976817195,0.09795867108650688,0.02008820719514229,2.5359210259557308e-18,1.0
0.46,0.03121290267927309,0.031212902679271935,0.1080897349092963,0.02291991942813794,-1.2679605129778654e-18,1.0
0.47000000000000003,0.03586586022847009,0.03586586022846876,0.11909817104245435,0.026076736833477998,0.0,1.0
0.48000000000000004,0.04109421698537797,0.04109421698537645,0.13104193213037132,0.02958785766063377,-3.803881538933596e-18,1.0
0.49,0.04695356620737463,0.04695356620737289,0.14398053559162952,0.03348440426883545,1.2679605129778654e-18,1.0
0.5,0.0535029902897266,0.05350299028972461,0.1579748441931234,0.03779950586263064,0.0,1.0
0.51,0.060804975136287256,0.06080497513628501,0.17308671053314173,0.042568382969243874,0.0,1.0
0.52,0.06892541016096776,0.06892541016096523,0.18937866596084005,0.04782843365773761,2.5359210259557308e-18,1.0
0.53,0.07793343882089586,0.07793343882089299,0.20691351971086713,0.053619321499974296,-5.0718420519114616e-18,1.0
0.54,0.0879013571808833,0.08790135718088007,0.2257539559870742,0.05998306527337977,0.0,1.0
0.55,0.09890440770840066,0.09890440770839704,0.24596209263419788,0.06696413040550783,2.5359210259557308e-18,1.0
0.56,0.1110205323877106,0.11102053238770655,0.26759893364348664,0.07460952216040599,-2.5359210259557308e-18,1.0
0.5700000000000001,0.12433015294504261,0.12433015294503809,0.2907240099225791,0.08296888056678264,5.0718420519114616e-18,1.0
0.5800000000000001,0.13891578814209798,0.13891578814209288,0.3153947140643707,0.09209457708797518,-2.5359210259557308e-18,1.0
0.59,0.15486169613056225,0.1548616961305566,0.34166590933147895,0.10204181303371955,-2.5359210259557308e-18,1.0
0.6,0.17225345103492717,0.1722534510349209,0.3695892425613568,0.11286871971372126,0.0,1.0
0.61,0.1911774282384382,0.19117742823843123,0.3992127530198271,0.12463646033302685,0.0,1.0
0.62,0.21172035311352894,0.2117203531135212,0.4305802658270774,0.13740933362919738,0.0,1.0
0.63,0.23396863005067858,0.23396863005067006,0.4637308281744225,0.1512548792512829,0.0,1.0
0.64,0.25800763759127615,0.2580076375912667,0.49869821299621214,0.1662439848805979,0.0,1.0
0.65,0.2839212099113945,0.28392120991138414,0.535510279818956,0.18245099509329835,-2.5359210259557308e-18,1.0
0.66,0.3117905888819005,0.3117905888818891,0.5741884969357814,0.19995382196475986,0.0,1.0
0.67,0.3416938905773658,0.3416938905773533,0.6147474741988849,0.21883405741575676,5.0718420519114616e-18,1.0
0.68,0.3737049049103844,0.37370490491037067,0.6571941008416894,0.23917708730044301,0.0,1.0
0.6900000000000001,0.4078923707493297,0.4078923707493149,0.7015272789928702,0.2610722072361338,0.0,1.0
0.7000000000000001,0.4464697925974927,0.4464697925974763,0.7497066605081052,0.28461274017488863,0.0,0.9944380500000001
0.7100000000000001,0.48565961358950477,0.485659613589487,0.7981622565070134,0.3098961557168955,5.0718420519114616e-18,0.9938143084150001
0.72,0.527237885476858,0.5272378854768388,0.8484755968919662,0.33702419116565624,-1.0143684103822923e-17,0.9932232806400001
