{'wl': 8.421136460674157, 'aspect_ratio_func': 'dsr_thurai_2007', 'elevation': 90.0, 'canting': 10.0, 'prefactor': 0.05548070286560928, 'frequency': 35.6, 'n': (5.695519193854038+2.7772055098547335j), 'K2': 0.9117492415453236}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,5.5483082090984044e-14,5.5483082090981803e-14,6.487287218798462e-08,5.548070286560929e-14,6.3857758029080155e-24,1.0
0.02,3.5513723334147143e-12,3.551372333414572e-12,5.194281761718774e-07,3.5507649833989946e-12,0.0,1.0
0.03,4.046100715784385e-11,4.0461007157842225e-11,1.7555830521879438e-06,4.0445432389029155e-11,2.043448256930565e-22,1.0
0.04,2.274045096327136e-10,2.274045096327045e-10,4.169751819515445e-06,2.2724895893753565e-10,0.0,1.0
0.05,8.678131043887558e-10,8.678131043887211e-10,8.165146762635523e-06,8.668859822751453e-10,0.0,1.0
0.060000000000000005,2.592494570545214e-09,2.5924945705451103e-09,1.4154122038596688e-05,2.588507672897868e-09,0.0,1.0
0.06999999999999999,6.540932974898286e-09,6.540932974898024e-09,2.256056591646781e-05,6.527249211436062e-09,0.0,1.0
0.08,1.4583758497977506e-08,1.4583758497976919e-08,3.382235520113888e-05,1.4543933372002282e-08,-3.269517211088904e-21,1.0
0.09,2.9586908579547102e-08,2.9586908579545914e-08,4.839385769681187e-05,2.9484720211602253e-08,3.269517211088904e-21,1.0
0.09999999999999999,5.571810487558611e-08,5.571810487558386e-08,6.674851039918808e-05,5.548070286560925e-08,-6.539034422177808e-21,1.0
0.11,9.879636033949608e-08,9.879636033949209e-08,8.938149521321739e-05,9.828744944930164e-08,1.3078068844355616e-20,1.0
0.12,1.666854227457627e-07,1.6668542274575603e-07,0.0001168124199727468,1.6566449106546342e-07,0.0,1.0
0.13,2.697317739275831e-07,2.697317739275723e-07,0.0001495881853814004,2.6779475591804875e-07,1.3078068844355616e-20,1.0
0.14,4.2124872542485063e-07,4.2124872542483385e-07,0.0001882858924291868,4.1774394953190843e-07,1.3078068844355616e-20,1.0
0.15000000000000002,6.380470313361521e-07,6.380470313361267e-07,0.00023351579446386476,6.319598810785813e-07,0.0,1.0
0.16,9.410141309764965e-07,9.410141309764589e-07,0.00028592447643648863,9.30811735808146e-07,0.0,1.0
0.17,1.3557421648000735e-06,1.3557421648000193e-06,0.00034619810771192394,1.3391692935871422e-06,-2.615613768871123e-20,1.0
0.18000000000000002,1.9132073386336314e-06,1.9132073386335547e-06,0.0004150656654609316,1.887022093542546e-06,0.0,1.0
0.19,2.6505007843159308e-06,2.6505007843158257e-06,0.0004933025046038387,2.610138544811813e-06,0.0,1.0
0.2,3.6116154217222055e-06,3.6116154217220615e-06,0.0005817340279046514,3.550764983398995e-06,-5.231227537742246e-20,1.0
0.21000000000000002,4.84828463531694e-06,4.848284635316747e-06,0.0006812392091073787,4.758364675136895e-06,0.0,1.0
0.22,6.4208836213656756e-06,6.420883621365421e-06,0.0007927548506172623,6.290396764755305e-06,-5.231227537742246e-20,1.0
0.23,8.39938361788135e-06,8.399383617881017e-06,0.0009172792418920189,8.213135171055319e-06,1.0462455075484493e-19,1.0
0.24000000000000002,1.0864373371691459e-05,1.086437337169103e-05,0.001055876681717861,1.0602527428189667e-05,1.0462455075484493e-19,1.0
0.25,1.3908142044137797e-05,1.3908142044137243e-05,0.0012096817053427985,1.354509347304914e-05,0.0,1.0
0.26,1.763582602643439e-05,1.7635826026433695e-05,0.0013799037755630556,1.713886437875512e-05,0.0,1.0
