{'K2': 0.847893210129674, 'canting': 10.0, 'frequency': 94.0, 'prefactor': 2.507951442233622, 'n': (3.699704408735369+2.155748075879551j), 'wl': 3.1892814680851065, 'aspect_ratio_func': 'dsr_thurai_2007', 'elevation': 90.0}
diameter[mm],radarXSh[mm2],radarXSv[mm2],extxs[mm2],ray[mm2],sKdp[mm2],aspect_ratio
0.01,2.508429143103196e-12,2.508429143103095e-12,3.93713740256291e-07,2.5079514422336223e-12,0.0,1.0
0.02,1.6063106177970704e-10,1.606310617797006e-10,3.154854705297207e-06,1.6050889230295183e-10,0.0,1.0
0.03,1.8314257755004958e-09,1.8314257755004224e-09,1.067692393163173e-05,1.82829660138831e-09,0.0,1.0
0.04,1.030380266419488e-08,1.0303802664194467e-08,2.540668903092494e-05,1.0272569107388917e-08,-1.2382426884549467e-21,1.0
0.05,3.9372790812151525e-08,3.9372790812149944e-08,4.987284134704793e-05,3.918674128490036e-08,-1.2382426884549467e-21,1.0
0.060000000000000005,1.1781051918959106e-07,1.1781051918958633e-07,8.671626348951311e-05,1.1701098248885193e-07,0.0,1.0
0.06999999999999999,2.9780071092955144e-07,2.978007109295396e-07,0.00013872209308442952,2.9505797922734324e-07,0.0,1.0
0.08,6.654227448189661e-07,6.654227448189396e-07,0.00020885372437334866,6.574444228728907e-07,9.905941507639573e-21,1.0
0.09,1.3532899232094704e-06,1.3532899232094162e-06,0.0003002890393899865,1.332828222412078e-06,1.9811883015279147e-20,1.0
0.09999999999999999,2.55546610102681e-06,2.5554661010267083e-06,0.00041645872950646633,2.507951442233621e-06,0.0,1.0
0.11,4.544803457803043e-06,4.544803457802861e-06,0.0005610874812410119,4.442988964954838e-06,0.0,1.0
0.12,7.69286250640362e-06,7.692862506403315e-06,0.0007382374804255683,7.488702879286518e-06,0.0,1.0
0.13,1.2492598013528916e-05,1.2492598013528421e-05,0.0009523550686453377,1.2105402592936231e-05,0.0,1.0
0.14,1.9584001446090336e-05,1.9584001446089556e-05,0.0012083203554100262,1.8883710670549988e-05,0.0,1.0
